"id","yearBuilt","City","latitude","longitude","zipcode","bathrooms","bedrooms","DateListed","DateSold","daysOnZillow","homeType","lastSoldPrice","livingArea","lotSize","price","priceHistory.1.price","propertyTaxRate","hasCooling","hasFireplace","hasGarage","hasHeating","hasView","schools0distance","schools0level","schools0rating","schools1distance","schools1level","schools1rating","schools2distance","school2level","schools2rating","price_category"
20596,1996,"Beaverton",45.45876,-122.8352,"97007",3,4,"5/28/2021","6/11/2021",14,"SINGLE_FAMILY",679000,2726,7405,704700,707900,1.13,TRUE,TRUE,TRUE,TRUE,FALSE,0.2,"Elementary","9",1.2,"Middle","5",2.3,"High","6","above"
20597,1981,"Aloha",45.51645,-122.8733,"97006",2,3,"5/14/2021","5/28/2021",14,"SINGLE_FAMILY",414900,1217,7000,451900,414900,1.13,TRUE,TRUE,TRUE,TRUE,FALSE,1.1,"Elementary","5",1.9,"Middle","7",2.8,"High","7","below"
20598,1965,"Beaverton",45.4724,-122.8185,"97008",3,3,"5/18/2021","6/4/2021",17,"SINGLE_FAMILY",551500,1768,6969,577600,582000,1.13,TRUE,TRUE,TRUE,TRUE,FALSE,0.1,"Elementary","7",0.2,"Middle","5",1.5,"High","5","above"
20601,1973,"Beaverton",45.45924,-122.8042,"97008",3,3,"4/22/2021","5/17/2021",25,"SINGLE_FAMILY",335195,1888,10019,335195,166500,1.13,FALSE,TRUE,FALSE,TRUE,FALSE,0.4,"Elementary","5",1.4,"Middle","4",0.6,"High","5","below"
20602,1994,"Beaverton",45.51443,-122.8849,"97003",2,3,"5/14/2021","5/28/2021",14,"SINGLE_FAMILY",450000,1334,5227,450000,430000,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.4,"Elementary","5",1.2,"Middle","7",2.1,"High","7","below"
20606,2002,"Beaverton",45.45059,-122.833,"97007",3,3,"6/9/2021","6/10/2021",1,"SINGLE_FAMILY",430700,1586,3920,430700,3e+05,1.13,FALSE,TRUE,FALSE,TRUE,FALSE,0.7,"Elementary","6",1.5,"Middle","5",2,"High","6","below"
20607,2001,"Portland",45.42516,-122.8314,"97223",2,3,"2/15/2020","10/13/2020",241,"TOWNHOUSE",353000,1474,2178,353000,339000,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.9,"Elementary","7",2.2,"Middle","6",1.5,"High","6","below"
20609,2006,"Tigard",45.44464,-122.7698,"97223",2,2,"10/30/2019","8/20/2020",295,"TOWNHOUSE",294900,1154,435,294900,275000,1.13,FALSE,TRUE,FALSE,TRUE,TRUE,0.1,"Elementary","3",1.4,"Middle","5",2.6,"High","7","below"
20612,1989,"Tigard",45.43822,-122.7751,"97223",2,3,"8/23/2019","7/17/2020",329,"SINGLE_FAMILY",4e+05,1120,4791,4e+05,355000,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.5,"Elementary","3",1,"Middle","5",2.2,"High","7","below"
20614,1991,"Tigard",45.43808,-122.7857,"97223",3,3,"8/19/2019","7/15/2020",331,"SINGLE_FAMILY",414000,1574,9147,414000,410000,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.7,"Elementary","6",0.4,"Middle","5",2.4,"High","7","below"
20617,1981,"Tigard",45.43672,-122.7723,"97223",3,3,"8/5/2019","7/8/2020",338,"SINGLE_FAMILY",425000,2184,10018,425000,425000,1.13,TRUE,FALSE,FALSE,TRUE,FALSE,0.6,"Elementary","3",1.1,"Middle","5",2.1,"High","7","below"
20618,1977,"Tigard",45.45024,-122.7478,"97223",2,4,"8/3/2019","7/7/2020",339,"SINGLE_FAMILY",559000,2886,9147,559000,549000,1.13,TRUE,TRUE,FALSE,TRUE,TRUE,1.5,"Elementary","3",2.8,"Middle","5",3.2,"High","7","above"
20619,1999,"Tigard",45.40984,-122.7648,"97224",3,4,"11/25/2019","9/2/2020",282,"SINGLE_FAMILY",5e+05,2229,6098,5e+05,479900,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.6,"Elementary","8",0.7,"Middle","5",0.5,"High","7","below"
20621,2020,"Portland",45.4414,-122.7666,"97223",4,3,"2/13/2021","4/13/2021",59,"TOWNHOUSE",469999,1760,1742,469999,469999,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.4,"Elementary","3",1.5,"Middle","5",2.4,"High","7","below"
20622,2020,"Portland",45.44148,-122.7666,"97223",4,3,"2/5/2021","4/9/2021",63,"TOWNHOUSE",479900,1760,3049,479900,475000,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.4,"Elementary","3",1.5,"Middle","5",2.4,"High","7","below"
20623,2020,"Portland",45.44139,-122.7668,"97223",4,3,"1/22/2021","4/2/2021",70,"TOWNHOUSE",474500,1760,1742,474500,469999,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.4,"Elementary","3",1.5,"Middle","5",2.4,"High","7","below"
20625,2012,"Tigard",45.43313,-122.8216,"97223",3,3,"7/17/2019","7/10/2020",359,"SINGLE_FAMILY",450000,1841,3049,450000,2595,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,1.5,"Elementary","6",1.4,"Middle","6",2.1,"High","6","below"
20627,2019,"Tigard",45.42725,-122.8127,"97223",3,5,"8/23/2019","7/17/2020",329,"SINGLE_FAMILY",779000,3315,9147,779000,779000,1.13,TRUE,TRUE,FALSE,TRUE,TRUE,1.7,"Elementary","6",1.4,"Middle","6",1.5,"High","5","above"
